,Unnamed: 0,Unnamed: 1,name,cargo_capacity,mass,crew,manufacturer,type,status,role,price,release_date,price_ingame,scm,max,length,beam,height
0,0,100i                      ,100i,2,48143.0,1, Origin Jumpworks                         , multi      , flight-ready," "" """"{'0': 'Starter' '1': 'Touring'}             """"""",50.0, 2020        ,1146600.0,260.0,1425.0,19.0,12.0,5.0
1,1,125a                      ,125a,2,48143.0,1, Origin Jumpworks                         , multi      , flight-ready," "" """"{'0': 'Starter' '1': 'Light Fighter'}       """"""",60.0, 2020        ,1587600.0,260.0,1425.0,19.0,12.0,5.0
2,2,135c                      ,135c,6,48143.0,1, Origin Jumpworks                         , multi      , flight-ready," "" """"{'0': 'Starter' '1': 'Light Freight'}       """"""",65.0, 2020        ,1490580.0,260.0,1425.0,19.0,12.0,5.0
3,3,300i                      ,300i,8,79677.0,1, Origin Jumpworks                         , multi      , flight-ready," "" """"{'0': 'Touring' '1': 'Luxury'}              """"""",60.0, 2014        ,1375920.0,260.0,1425.0,27.0,17.0,8.0
4,4,315p                      ,315p,12,80592.0,1, Origin Jumpworks                         , exploration, flight-ready, {'0': 'Pathfinder'}                                ,65.0, 2014        ,1490580.0,260.0,1425.0,27.0,17.0,8.0
5,5,325a                      ,325a,4,79324.0,1, Origin Jumpworks                         , combat     , flight-ready," "" """"{'0': 'Light Fighter' '1': 'Interdiction'}  """"""",70.0, 2014        ,1852200.0,260.0,1425.0,27.5,17.0,8.0
6,6,350r                      ,350r,4,79677.0,1, Origin Jumpworks                         , competition, flight-ready, {'0': 'Racing'}                                    ,125.0, 2014        ,3748500.0,260.0,1425.0,27.0,17.0,8.0
7,7,400i                      ,400i,42,430057.0,3, Origin Jumpworks                         , exploration, flight-ready, {'0': 'Touring'}                                   ,250.0, 2021        ,11466000.0,200.0,1000.0,56.0,32.0,12.5
8,8,600i Explorer             ,600i Explorer,44,1622067.0,5, Origin Jumpworks                         , exploration, flight-ready, {'0': 'Expedition'}                                ,475.0, 2018        ,27231750.0,165.0,975.0,91.5,52.0,17.0
9,9,600i Touring              ,600i Touring,20,1613414.0,5, Origin Jumpworks                         , exploration, flight-ready, {'0': 'Touring'}                                   ,435.0, 2018        ,24938550.0,165.0,975.0,91.5,52.0,17.0
10,10,85X                       ,85X,0,19834.0,2, Origin Jumpworks                         , exploration, flight-ready, {'0': 'Touring'}                                   ,50.0, 2016        ,573300.0,230.0,1250.0,13.5,14.0,4.0
11,11,890 Jump                  ,890 Jump,388,44237159.0,8, Origin Jumpworks                         , exploration, flight-ready, {'0': 'Luxury Touring'}                            ,950.0, 2019        ,65356200.0,125.0,915.0,210.0,80.0,45.0
12,12,A1 Spirit                 ,A1 Spirit,0,314271.0,2, Crusader Industries                      , combat     , flight-ready, {'0': 'Bomber'}                                    ,200.0, 2023        ,4961250.0,204.0,1130.0,47.5,44.0,10.0
13,13,A2 Hercules               ,A2 Hercules,216,3139240.0,8, Crusader Industries                      , combat     , flight-ready, {'0': 'Heavy Bomber'}                              ,750.0, 2021        ,44296876.0,160.0,950.0,70.0,94.0,23.0
14,14,Apollo Medivac            ,Apollo Medivac,28,376500.0,2, Roberts Space Industries                 , support    , in-concept  , {'0': 'Medical'}                                   ,275.0, Unreleased  ,0.0,195.0,0.0,43.0,30.0,10.0
15,15,Apollo Triage             ,Apollo Triage,28,376500.0,2, Roberts Space Industries                 , support    , in-concept  , {'0': 'Medical'}                                   ,250.0, Unreleased  ,0.0,205.0,0.0,43.0,30.0,10.0
16,16,Ares Star Fighter Inferno ,Ares Star Fighter Inferno,0,329001.0,1, Crusader Industries                      , combat     , flight-ready, {'0': 'Heavy Fighter'}                             ,250.0, 2021        ,4725000.0,210.0,110.0,27.0,30.0,6.0
17,17,Ares Star Fighter Ion     ,Ares Star Fighter Ion,0,329001.0,1, Crusader Industries                      , combat     , flight-ready, {'0': 'Heavy Fighter'}                             ,250.0, 2021        ,4725000.0,210.0,1100.0,27.0,30.0,6.0
18,18,Arrastra                  ,Arrastra,576,0.0,5, Roberts Space Industries                 , industrial , in-concept  ," "" """"{'0': 'Mining' '1': 'Refining'}             """"""",575.0, Unreleased  ,0.0,0.0,0.0,124.0,64.0,21.0
19,19,Arrow                     ,Arrow,0,32310.0,1, Anvil Aerospace                          , combat     , flight-ready, {'0': 'Light Fighter'}                             ,75.0, 2018        ,1984500.0,232.0,1210.0,17.25,12.25,4.5
20,20,ATLS                      ,ATLS,0,1440.0,1, Argo Astronautics                        , ground     , flight-ready, {'0': 'Industrial'}                                ,40.0, 2024        ,2.0,2.0,2.0,1.8,2.0,2.8
21,21,Aurora CL                 ,Aurora CL,6,26422.0,1, Roberts Space Industries                 , transport  , flight-ready, {'0': 'Light Freight'}                             ,45.0, 2014        ,1020600.0,225.0,1200.0,19.0,8.75,4.5
